position,ppr_points,var,moving_avg,up_vol,down_vol,hv_plays,hv_points,ou,def_rk,attempts,conv_rate,ay_att,yac_att,yds_route
TE,14.40,0.51,16.84,1.84,0.47,1,4.50,43.5,1,12,0.58,0.51,0.22,0.74
TE,2.80,0.36,2.50,1,1,0,0,43.5,28,1,1.00,17.00,1.00,18.00
WR,13.40,0.63,8.62,2.10,0.40,1,5.30,43.5,28,8,0.75,1.31,0.30,1.61
WR,6.60,0.66,8.00,2.01,0.49,0,0,43.5,28,3,1.00,0.78,2.33,3.11
TE,8.00,0.67,6.50,1.99,0.35,0,0,43.5,28,5,1.00,0.88,0.32,1.20
WR,1.60,0.89,3.42,2.63,0.42,0,0,43.5,28,1,1.00,-4.00,10.00,6.00
WR,12.20,0.76,5.90,1.93,0.24,0,0,44,20,6,1.00,1.06,0.67,1.72
WR,6.40,0.76,12.30,2.08,0.25,1,3.60,44,26,2,1.00,5.75,5.25,11.00
WR,1.70,0.71,5.30,2.15,0.31,0,0,44,20,4,0.25,4.63,0.00,4.63
TE,9.40,0.85,9.52,2.44,0.19,0,0,44,26,6,0.83,1.08,0.06,1.14
TE,1.30,0.67,3.26,2.11,0.27,0,0,44,20,1,1.00,3.00,0.00,3.00
TE,2.60,0.63,6.60,2.19,0.37,0,0,44,26,1,1.00,4.00,12.00,16.00
WR,9.20,0.43,14.58,1.56,0.49,0,0,44,26,3,1.00,3.89,0.00,3.89
WR,28.40,0.43,16.00,1.67,0.55,1,10.90,44,26,7,0.86,1.78,0.80,2.57
TE,1.90,0.62,2.86,1,1,0,0,44,20,1,1.00,5.00,4.00,9.00
WR,16.58,0.47,12.16,1.66,0.44,0,0,44,20,9,0.67,0.58,0.42,1.00
WR,2.50,0.36,4.20,1,1,0,0,44,20,3,0.33,7.67,0.00,7.67
WR,11.20,0.56,12.26,1.81,0.44,1,6.20,46.5,4,5,0.60,4.08,1.40,5.48
WR,3.30,0.70,9.70,2.10,0.32,0,0,46.5,4,3,0.67,1.56,0.22,1.78
