Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
TE,Ryan Griffin (13251344),Ryan Griffin,13251344,TE/FLEX,2700,BUF@NYJ 09/08/2019 01:00PM ET,NYJ,3.74
TE,Vernon Davis (13251275),Vernon Davis,13251275,TE/FLEX,2700,WAS@PHI 09/08/2019 01:00PM ET,WAS,5.41
TE,Tyler Higbee (13251467),Tyler Higbee,13251467,TE/FLEX,2600,LAR@CAR 09/08/2019 01:00PM ET,LAR,4.35
DST,Titans  (13251257),Titans ,13251257,DST,2600,TEN@CLE 09/08/2019 01:00PM ET,TEN,7.44
TE,Tyler Kroft (13251434),Tyler Kroft,13251434,TE/FLEX,2600,BUF@NYJ 09/08/2019 01:00PM ET,BUF,1.52
TE,Andrew DePaola (13251292),Andrew DePaola,13251292,TE/FLEX,2500,LAR@CAR 09/08/2019 01:00PM ET,CAR,0
TE,Chris Manhertz (13251419),Chris Manhertz,13251419,TE/FLEX,2500,LAR@CAR 09/08/2019 01:00PM ET,CAR,0.82
TE,Temarrick Hemingway (13251503),Temarrick Hemingway,13251503,TE/FLEX,2500,LAR@CAR 09/08/2019 01:00PM ET,CAR,0
TE,Marcus Baugh (13251593),Marcus Baugh,13251593,TE/FLEX,2500,LAR@CAR 09/08/2019 01:00PM ET,CAR,0
TE,Johnny Mundt (13251612),Johnny Mundt,13251612,TE/FLEX,2500,LAR@CAR 09/08/2019 01:00PM ET,LAR,0.12
TE,Cole Hunt (13251640),Cole Hunt,13251640,TE/FLEX,2500,LAR@CAR 09/08/2019 01:00PM ET,CAR,0
TE,Jason Vander Laan (13251674),Jason Vander Laan,13251674,TE/FLEX,2500,LAR@CAR 09/08/2019 01:00PM ET,CAR,0
TE,Romello Brooker (13251758),Romello Brooker,13251758,TE/FLEX,2500,LAR@CAR 09/08/2019 01:00PM ET,LAR,0
TE,Kendall Blanton (13251779),Kendall Blanton,13251779,TE/FLEX,2500,LAR@CAR 09/08/2019 01:00PM ET,LAR,0
TE,Keenen Brown (13252002),Keenen Brown,13252002,TE/FLEX,2500,LAR@CAR 09/08/2019 01:00PM ET,LAR,0
TE,Beau Brinkley (13251340),Beau Brinkley,13251340,TE/FLEX,2500,TEN@CLE 09/08/2019 01:00PM ET,TEN,0
TE,Ryan Hewitt (13251361),Ryan Hewitt,13251361,TE/FLEX,2500,TEN@CLE 09/08/2019 01:00PM ET,TEN,0.51
TE,MyCole Pruitt (13251389),MyCole Pruitt,13251389,TE/FLEX,2500,TEN@CLE 09/08/2019 01:00PM ET,TEN,1.68
TE,Demetrius Harris (13251461),Demetrius Harris,13251461,TE/FLEX,2500,TEN@CLE 09/08/2019 01:00PM ET,CLE,2.8
TE,Pharaoh Brown (13251526),Pharaoh Brown,13251526,TE/FLEX,2500,TEN@CLE 09/08/2019 01:00PM ET,CLE,0
TE,Rico Gathers (13251566),Rico Gathers,13251566,TE/FLEX,2500,TEN@CLE 09/08/2019 01:00PM ET,CLE,0.44
TE,Anthony Firkser (13251678),Anthony Firkser,13251678,TE/FLEX,2500,TEN@CLE 09/08/2019 01:00PM ET,TEN,3.96
TE,Parker Hesse (13251828),Parker Hesse,13251828,TE/FLEX,2500,TEN@CLE 09/08/2019 01:00PM ET,TEN,0
TE,Stephen Carlson (13251889),Stephen Carlson,13251889,TE/FLEX,2500,TEN@CLE 09/08/2019 01:00PM ET,CLE,0
TE,James Winchester (13251350),James Winchester,13251350,TE/FLEX,2500,KC@JAX 09/08/2019 01:00PM ET,KC,0
TE,Blake Bell (13251378),Blake Bell,13251378,TE/FLEX,2500,KC@JAX 09/08/2019 01:00PM ET,KC,1.47
TE,James O'Shaughnessy (13251387),James O'Shaughnessy,13251387,TE/FLEX,2500,KC@JAX 09/08/2019 01:00PM ET,JAX,3.24
TE,Manasseh Garner (13251403),Manasseh Garner,13251403,TE/FLEX,2500,KC@JAX 09/08/2019 01:00PM ET,KC,0
TE,Ben Koyack (13251511),Ben Koyack,13251511,TE/FLEX,2500,KC@JAX 09/08/2019 01:00PM ET,JAX,0
TE,Seth DeValve (13251518),Seth DeValve,13251518,TE/FLEX,2500,KC@JAX 09/08/2019 01:00PM ET,JAX,1.42
TE,Deon Yelder (13251668),Deon Yelder,13251668,TE/FLEX,2500,KC@JAX 09/08/2019 01:00PM ET,KC,0
TE,Carson Meier (13251691),Carson Meier,13251691,TE/FLEX,2500,KC@JAX 09/08/2019 01:00PM ET,JAX,0
TE,Ethan Wolf (13251695),Ethan Wolf,13251695,TE/FLEX,2500,KC@JAX 09/08/2019 01:00PM ET,JAX,0
TE,Charles Jones (13251703),Charles Jones,13251703,TE/FLEX,2500,KC@JAX 09/08/2019 01:00PM ET,JAX,0
TE,Donnie Ernsberger (13251822),Donnie Ernsberger,13251822,TE/FLEX,2500,KC@JAX 09/08/2019 01:00PM ET,JAX,0
TE,Nick Keizer (13251992),Nick Keizer,13251992,TE/FLEX,2500,KC@JAX 09/08/2019 01:00PM ET,KC,0
TE,Matt Orzech (13251994),Matt Orzech,13251994,TE/FLEX,2500,KC@JAX 09/08/2019 01:00PM ET,JAX,0
TE,Jody Fortson (13252008),Jody Fortson,13252008,TE/FLEX,2500,KC@JAX 09/08/2019 01:00PM ET,KC,0
TE,Dwayne Allen (13251342),Dwayne Allen,13251342,TE/FLEX,2500,BAL@MIA 09/08/2019 01:00PM ET,MIA,0.36
TE,Nick O'Leary (13251478),Nick O'Leary,13251478,TE/FLEX,2500,BAL@MIA 09/08/2019 01:00PM ET,MIA,1.88
TE,Nick Boyle (13251505),Nick Boyle,13251505,TE/FLEX,2500,BAL@MIA 09/08/2019 01:00PM ET,BAL,2.61
TE,Durham Smythe (13251662),Durham Smythe,13251662,TE/FLEX,2500,BAL@MIA 09/08/2019 01:00PM ET,MIA,0.73
TE,Cole Herdman (13251752),Cole Herdman,13251752,TE/FLEX,2500,BAL@MIA 09/08/2019 01:00PM ET,BAL,0
TE,Charles Scarff (13251811),Charles Scarff,13251811,TE/FLEX,2500,BAL@MIA 09/08/2019 01:00PM ET,BAL,0
TE,Chris Myarick (13251813),Chris Myarick,13251813,TE/FLEX,2500,BAL@MIA 09/08/2019 01:00PM ET,MIA,0
TE,Logan Paulsen (13251288),Logan Paulsen,13251288,TE/FLEX,2500,ATL@MIN 09/08/2019 01:00PM ET,ATL,1.61
TE,Luke Stocker (13251299),Luke Stocker,13251299,TE/FLEX,2500,ATL@MIN 09/08/2019 01:00PM ET,ATL,2.72
TE,Alex Gray (13251370),Alex Gray,13251370,TE/FLEX,2500,ATL@MIN 09/08/2019 01:00PM ET,ATL,0
TE,David Morgan (13251514),David Morgan,13251514,TE/FLEX,2500,ATL@MIN 09/08/2019 01:00PM ET,MIN,0.78
TE,Cole Hikutini (13251570),Cole Hikutini,13251570,TE/FLEX,2500,ATL@MIN 09/08/2019 01:00PM ET,MIN,0
TE,Thomas Duarte (13251630),Thomas Duarte,13251630,TE/FLEX,2500,ATL@MIN 09/08/2019 01:00PM ET,ATL,0
TE,Jaeden Graham (13251765),Jaeden Graham,13251765,TE/FLEX,2500,ATL@MIN 09/08/2019 01:00PM ET,ATL,0
TE,Tyler Conklin (13251830),Tyler Conklin,13251830,TE/FLEX,2500,ATL@MIN 09/08/2019 01:00PM ET,MIN,0.79
TE,Brandon Dillon (13252004),Brandon Dillon,13252004,TE/FLEX,2500,ATL@MIN 09/08/2019 01:00PM ET,MIN,0
TE,Lee Smith (13251297),Lee Smith,13251297,TE/FLEX,2500,BUF@NYJ 09/08/2019 01:00PM ET,BUF,2.21
TE,Eric Tomlinson (13251399),Eric Tomlinson,13251399,TE/FLEX,2500,BUF@NYJ 09/08/2019 01:00PM ET,NYJ,1.01
TE,Daniel Brown (13251416),Daniel Brown,13251416,TE/FLEX,2500,BUF@NYJ 09/08/2019 01:00PM ET,NYJ,0
TE,Kyle Carter (13251507),Kyle Carter,13251507,TE/FLEX,2500,BUF@NYJ 09/08/2019 01:00PM ET,BUF,0
TE,Jason Croom (13251530),Jason Croom,13251530,TE/FLEX,2500,BUF@NYJ 09/08/2019 01:00PM ET,BUF,3.86
TE,Keith Towbridge (13251620),Keith Towbridge,13251620,TE/FLEX,2500,BUF@NYJ 09/08/2019 01:00PM ET,BUF,0
TE,Nate Becker (13251756),Nate Becker,13251756,TE/FLEX,2500,BUF@NYJ 09/08/2019 01:00PM ET,BUF,0
TE,Chris Herndon (13251760),Chris Herndon,13251760,TE/FLEX,2500,BUF@NYJ 09/08/2019 01:00PM ET,NYJ,7.08
TE,Tommy Sweeney (13251787),Tommy Sweeney,13251787,TE/FLEX,2500,BUF@NYJ 09/08/2019 01:00PM ET,BUF,0
TE,Dawson Knox (13251907),Dawson Knox,13251907,TE/FLEX,2500,BUF@NYJ 09/08/2019 01:00PM ET,BUF,0
TE,Trevon Wesco (13251951),Trevon Wesco,13251951,TE/FLEX,2500,BUF@NYJ 09/08/2019 01:00PM ET,NYJ,0
DST,Redskins  (13251264),Redskins ,13251264,DST,2500,WAS@PHI 09/08/2019 01:00PM ET,WAS,7.5
TE,Will Tye (13251393),Will Tye,13251393,TE/FLEX,2500,WAS@PHI 09/08/2019 01:00PM ET,PHI,0
TE,Alex Ellis (13251490),Alex Ellis,13251490,TE/FLEX,2500,WAS@PHI 09/08/2019 01:00PM ET,PHI,0
TE,Richard Rodgers (13251492),Richard Rodgers,13251492,TE/FLEX,2500,WAS@PHI 09/08/2019 01:00PM ET,PHI,0.19
TE,Joshua Perkins (13251499),Joshua Perkins,13251499,TE/FLEX,2500,WAS@PHI 09/08/2019 01:00PM ET,PHI,1.3
TE,J.P. Holtz (13251536),J.P. Holtz,13251536,TE/FLEX,2500,WAS@PHI 09/08/2019 01:00PM ET,WAS,0
TE,Jeremy Sprinkle (13251545),Jeremy Sprinkle,13251545,TE/FLEX,2500,WAS@PHI 09/08/2019 01:00PM ET,WAS,0.94
TE,Matt Flanagan (13251634),Matt Flanagan,13251634,TE/FLEX,2500,WAS@PHI 09/08/2019 01:00PM ET,WAS,0.8
TE,Donald Parham Jr. (13251861),Donald Parham Jr.,13251861,TE/FLEX,2500,WAS@PHI 09/08/2019 01:00PM ET,WAS,0
DST,Falcons  (13251254),Falcons ,13251254,DST,2400,ATL@MIN 09/08/2019 01:00PM ET,ATL,5.06
DST,Jaguars  (13251266),Jaguars ,13251266,DST,2300,KC@JAX 09/08/2019 01:00PM ET,JAX,7.19
DST,Panthers  (13251265),Panthers ,13251265,DST,2100,LAR@CAR 09/08/2019 01:00PM ET,CAR,5.75
DST,Dolphins  (13251260),Dolphins ,13251260,DST,2100,BAL@MIA 09/08/2019 01:00PM ET,MIA,7.5
