season,player,tm,fantpos,g,rush_att,rush_yds,y_a,rush_td,tgt,rec,yds,rec_td,ppr
2017,Rex Burkhead,NWE,RB,10,64,264,4.13,5,36,30,254,3,129.8
2017,Adam Humphries,TAM,WR,16,1,6,6,0,83,61,631,1,128.7
2017,Hunter Henry,LAC,TE,14,0,0,"",0,62,45,579,4,126.9
2017,Kendall Wright,CHI,WR,16,0,0,"",0,91,59,614,1,126.4
2017,Ryan Grant,WAS,WR,16,0,0,"",0,65,45,573,4,126.3
2017,Brandon LaFell,CIN,WR,16,0,0,"",0,89,52,548,3,124.8
2017,Tyler Kroft,CIN,TE,16,0,0,"",0,62,42,404,7,124.4
2017,Ameer Abdullah,DET,RB,14,165,552,3.35,4,35,25,162,1,124.4
2017,Tyler Lockett,SEA,WR,16,10,58,5.8,0,71,45,555,2,124.3
2017,Vernon Davis,WAS,TE,16,0,0,"",0,69,43,648,3,121.8
2017,Matt Forte,NYJ,RB,12,103,381,3.7,2,45,37,293,1,120.4
2017,Josh Doctson,WAS,WR,16,1,-14,-14,0,78,35,502,6,119.8
2017,Austin Hooper,ATL,TE,16,0,0,"",0,65,49,526,3,119.6
2017,Jonathan Stewart,CAR,RB,15,198,680,3.43,6,15,8,52,1,117.2
2017,Charles Clay,BUF,TE,13,0,0,"",0,74,49,558,2,116.8
2017,Eric Decker,TEN,WR,16,0,0,"",0,83,54,563,1,116.3
2017,Albert Wilson,KAN,WR,13,3,6,2,0,62,42,554,3,116
2017,Emmanuel Sanders,DEN,WR,12,0,0,"",0,92,47,555,2,114.5
2017,Will Fuller,HOU,WR,10,2,9,4.5,0,50,28,423,7,113.2
2017,Terrance Williams,DAL,WR,16,2,15,7.5,0,78,53,568,0,111.3
2017,Chris Hogan,NWE,WR,9,3,17,5.67,0,59,34,439,5,109.6
2017,Samaje Perine,WAS,RB,16,175,603,3.45,1,24,22,182,1,108.5
2017,LeGarrette Blount,PHI,RB,16,173,766,4.43,2,8,8,50,1,107.6
2017,Austin Ekeler,LAC,RB,16,47,260,5.53,2,35,27,279,3,106.9
2017,George Kittle,SFO,TE,15,0,0,"",0,63,43,515,2,106.5
2017,Deonte Thompson,2TM,WR,16,2,-5,-2.5,0,69,38,555,2,105
2017,Wayne Gallman,NYG,RB,13,111,476,4.29,0,48,34,193,1,104.9
2017,Matt Breida,SFO,RB,16,105,465,4.43,2,36,21,180,1,103.5
2017,Marlon Mack,IND,RB,14,93,358,3.85,3,33,21,225,1,103.3
2017,Jaron Brown,ARI,WR,16,0,0,"",0,69,31,477,4,102.7
2017,Jeremy Maclin,BAL,WR,12,0,0,"",0,72,40,440,3,102
2017,Austin Seferian-Jenkins,NYJ,TE,13,0,0,"",0,74,50,357,3,101.7
2017,O.J. Howard,TAM,TE,14,0,0,"",0,39,26,432,6,101.2
2017,Allen Hurns,JAX,WR,10,0,0,"",0,56,39,484,2,99.4
2017,Jesse James,PIT,TE,16,0,0,"",0,63,43,372,3,98.2
2017,Julius Thomas,MIA,TE,14,0,0,"",0,62,41,388,3,97.8
2017,J.D. McKissic,SEA,RB,13,46,187,4.07,1,46,34,266,2,97.3
2017,Trent Taylor,SFO,WR,15,0,0,"",0,60,43,430,2,96
2017,David Njoku,CLE,TE,16,1,1,1,0,60,32,386,4,94.7
2017,Kenny Golladay,DET,WR,11,1,9,9,0,48,28,477,3,94.6
2017,JJ Nelson,ARI,WR,16,3,37,12.33,0,61,29,508,2,93.5
2017,Chris Godwin,TAM,WR,16,0,0,"",0,55,34,525,1,92.5
2017,Corey Clement,PHI,RB,16,74,321,4.34,4,15,10,123,2,92.4
