pos,rank_full,rank_full_alt,rank_slim,standard_abs_rk,standard_value_rk,sim_abs_rk,sim_value_rk,exp_points_for,exp_points_ag,ou,spread,abs_spread,salary,points,points_per_salary
RB,66,62.33333333,85.5,98,77,73,16,23.75,26.75,50.5,-3,3,4200,0,0
WR,79,100.3333333,83.5,65,15,102,134,29,25.5,54.5,3.5,3.5,5900,0,0
TE,28.5,16,16.5,22,66,11,15,22.5,23.5,46,-1,1,4900,0,0
WR,115.75,121,145,140,100,150,73,23.5,18.5,42,5,5,4900,0,0
WR,89.5,117.6666667,115,99,5,131,123,29,26,55,3,3,3400,0,0
QB,,,,34,36,32,34,29,26,55,3,3,4500,0,0
TE,32.25,25,25.5,31,54,20,24,22.75,19.75,42.5,3,3,3800,0,0
RB,69.5,92,92.5,71,2,114,91,24.5,14.5,39,10,10,4600,0,0
WR,87,101,85.5,79,45,92,132,24.5,14.5,39,10,10,4100,0,0
WR,95.25,117,108.5,94,30,123,134,24.5,14.5,39,10,10,4800,0,0
RB,85.75,102.6666667,114,108,35,120,80,25.5,22.5,48,3,3,4000,0,0
TE,45.5,40,57,66,62,48,6,19.75,24.25,44,-4.5,4.5,2600,0,0
WR,103.5,114.3333333,149.5,147,71,152,44,14.5,24.5,39,-10,10,4200,0,0
RB,71.25,92.33333333,92,74,8,110,93,27,23.5,50.5,3.5,3.5,5500,0,0
RB,48.5,59,67,64,17,70,43,20.5,16.5,37,4,4,3400,0,0
TE,38.75,41.33333333,38.5,35,31,42,47,18.25,22.25,40.5,-4,4,2500,0,0
WR,94.25,93.33333333,62.5,52,97,73,155,30.25,17.75,48,12.5,12.5,5700,0,0
WR,116.25,127,173,172,84,174,35,21.5,23.5,45,-2,2,3200,0,0
WR,96.75,69.33333333,94.5,122,179,67,19,20.25,19.25,39.5,1,1,3600,0,0
RB,62.75,77.33333333,99.5,105,19,94,33,26.25,16.75,43,9.5,9.5,3500,0,0
WR,119,115.3333333,130,128,130,132,86,23.5,16.5,40,7,7,4500,0,0
RB,81,88,122.5,121,60,124,19,18.25,23.75,42,-5.5,5.5,3000,0,0
WR,116.25,132,160,157,69,163,76,18.25,23.75,42,-5.5,5.5,3300,0,0
TE,38.5,42,38.5,37,28,40,49,23.25,19.75,43,3.5,3.5,2500,0,0
TE,47.75,60,58.5,54,11,63,63,23.5,27.5,51,-4,4,3100,0,0
WR,97.5,70,96,125,180,67,18,23.75,13.25,37,10.5,10.5,3200,0,0
WR,106.25,136.6666667,164,155,15,173,82,26.75,22.75,49.5,4,4,3400,0,0
WR,106.75,121,134,123,64,145,95,26.75,22.75,49.5,4,4,5600,0,0
WR,116.75,132.3333333,161,157,70,165,75,17.5,21.5,39,-4,4,3700,0,0
WR,96,102.6666667,135.5,138,76,133,37,21.5,17.5,39,4,4,3100,0,0
WR,73,59,45.5,52,115,39,86,25.75,20.25,46,5.5,5.5,7800,0,0
TE,47.75,61.33333333,66.5,62,7,71,51,20.5,19,39.5,1.5,1.5,2600,0,0
WR,114.5,142,184.5,178,32,191,57,20.5,19,39.5,1.5,1.5,3000,0,0
RB,64.75,82.33333333,79.5,66,12,93,88,18,23,41,-5,5,3000,0,0
TE,43.75,43.66666667,62.5,66,44,59,6,18,23,41,-5,5,2900,0,0
WR,116.25,104,138.5,146,153,131,35,18,23,41,-5,5,3700,0,0
TE,36.75,40.66666667,39,37,25,41,44,22,27,49,-5,5,2500,0,0
WR,70,39.33333333,14,21,162,7,90,23.75,19.25,43,4.5,4.5,7300,0,0
TE,43.5,55.33333333,54.5,50,8,59,57,28.25,22.75,51,5.5,5.5,3700,0,0
RB,88.25,83.33333333,121,121,103,121,8,21.25,27.25,48.5,-6,6,3900,0,0
WR,135.75,133.6666667,183,184,142,182,35,27.25,16.75,44,10.5,10.5,3000,0,0
WR,105.5,119.6666667,132.5,121,63,144,94,27,22,49,5,5,4500,0,0
RB,43.25,57.33333333,65.5,62,1,69,41,22.75,28.25,51,-5.5,5.5,3500,0,0
TE,46.5,42.33333333,57.5,62,59,53,12,16.75,27.25,44,-10.5,10.5,2500,0,0
QB,41.95604396,44.14652015,64.7032967,64,35,64,3,16.5,27.5,44,-11,11,4700,0,0
QB,57.84848485,60.86868687,89.21212121,64,35,64,3,16.5,27.5,44,-11,11,4700,0,0
WR,120,131.3333333,164,160,86,168,66,23.25,20.25,43.5,3,3,3000,0,0
WR,116,149,185,180,17,190,77,22.5,15.5,38,7,7,3200,0,0
TE,42,40.33333333,58.5,60,47,57,4,22.5,15.5,38,7,7,2800,0,0
TE,39.25,46,41,35,19,47,56,26,22.5,48.5,3.5,3.5,2500,0,0
TE,35.25,21.66666667,29.5,45,76,14,6,23,28,51,-5,5,3600,0,0
WR,94.5,72,86.5,107,162,66,43,24.25,17.25,41.5,7,7,3200,0,0
RB,61.5,76,95.5,96,18,95,37,24.5,20.5,45,4,4,3100,0,0
WR,114,128.3333333,155,148,71,162,75,15.25,24.75,40,-9.5,9.5,3600,0,0
RB,48.5,29.66666667,40.5,58,105,23,8,17.25,26.75,44,-9.5,9.5,5100,0,0
WR,59.75,71.33333333,45.5,42,25,49,123,28,23,51,5,5,3800,0,0
TE,44,36.66666667,48,56,66,40,14,22,19.5,41.5,2.5,2.5,4000,0,0
TE,41.75,46,46.5,50,29,43,45,24,27.5,51.5,-3.5,3.5,3600,0,0
TE,41,51.33333333,37.5,25,10,50,79,21.75,17.75,39.5,4,4,3400,0,0
WR,106.25,118.3333333,144.5,140,70,149,66,23.25,18.75,42,4.5,4.5,3000,0,0
WR,108.75,121.3333333,147.5,141,71,154,69,16.75,20.25,37,-3.5,3.5,3400,0,0
TE,53,49.33333333,65,67,64,63,18,15.5,21.5,37,-6,6,2500,0,0
WR,49.5,52,4,1,42,7,148,19.75,24.75,44.5,-5,5,6600,0,0
WR,111.25,106.6666667,141.5,145,125,138,37,28.5,17.5,46,11,11,3300,0,0
WR,124.5,156.3333333,172.5,165,29,180,124,17.75,21.75,39.5,-4,4,3600,0,0
WR,108.5,141.6666667,173,170,9,176,79,23.25,17.25,40.5,6,6,3000,0,0
WR,96.75,122.6666667,163.5,157,19,170,41,25,18.5,43.5,6.5,6.5,3300,0,0
WR,102.5,116,126.5,115,62,138,95,25,18.5,43.5,6.5,6.5,4100,0,0
RB,46.75,61,37,14,4,60,109,22.5,24.5,47,-2,2,4500,0,0
WR,80.75,96,81,61,35,101,126,30.25,19.25,49.5,11,11,3700,0,0
WR,65.75,79.66666667,29,11,24,47,181,30.25,19.25,49.5,11,11,5400,0,0
WR,107.75,102.6666667,137.5,143,123,132,33,20.5,19.5,40,1,1,3000,0,0
RB,68.5,87,98,88,13,108,65,17.25,27.75,45,-10.5,10.5,4000,0,0
WR,122,154,170.5,163,26,178,121,14,24.5,38.5,-10.5,10.5,3500,0,0
WR,121,141.3333333,161.5,155,60,168,101,20.25,21.25,41.5,-1,1,3400,0,0
WR,90.75,90.66666667,91.5,89,91,94,89,18.75,25.25,44,-6.5,6.5,3000,0,0
WR,85.5,108.3333333,111.5,102,17,121,102,26,23,49,3,3,4400,0,0
WR,103.25,115.6666667,127,118,66,136,93,27.5,14,41.5,13.5,13.5,3900,0,0
WR,98,125.6666667,163.5,159,15,168,50,27.5,14,41.5,13.5,13.5,3000,0,0
WR,112.25,107,139.5,147,128,132,42,24.75,18.25,43,6.5,6.5,3000,0,0
RB,45.75,60.66666667,60.5,54,1,67,61,21,26,47,-5,5,3000,0,0
TE,48.5,54.66666667,72,72,30,72,20,14,27.5,41.5,-13.5,13.5,2800,0,0
RB,65.75,68.66666667,95.5,104,57,87,15,26.25,15.75,42,10.5,10.5,3100,0,0
WR,129,127.3333333,178.5,179,134,178,25,26.25,15.75,42,10.5,10.5,3300,0,0
WR,88,109,110,104,25,116,107,26.25,15.75,42,10.5,10.5,3700,0,0
WR,104,116.3333333,128,120,67,136,93,22.75,18.25,41,4.5,4.5,3200,0,0
RB,45.5,59.66666667,40.5,16,3,65,98,23,26,49,-3,3,3600,0,0
RB,49.75,60.66666667,74,77,17,71,34,30,20,50,10,10,3000,0,0
WR,112.25,107,139,144,128,134,43,26,23,49,3,3,3000,0,0
RB,73.25,94.33333333,105.5,100,10,111,72,16.25,22.75,39,-6.5,6.5,3000,0,0
RB,69.75,82,105,105,33,105,36,16,24,40,-8,8,3200,0,0
WR,90.75,120,144.5,140,3,149,71,29.25,19.25,48.5,10,10,3400,0,0
RB,43.5,57,38,12,3,64,95,21.5,29.5,51,-8,8,3500,0,0
WR,91.25,70.33333333,95.5,117,154,74,20,29.5,21.5,51,8,8,5900,0,0
TE,51,52.66666667,69,68,46,70,20,26.25,22.75,49,3.5,3.5,3200,0,0
WR,121,125.6666667,150.5,150,107,151,76,26.25,22.75,49,3.5,3.5,3900,0,0
TE,22.5,26.66666667,25,24,10,26,30,26,19,45,7,7,3500,0,0
WR,89,92.33333333,125.5,134,79,117,26,26,19,45,7,7,3200,0,0
TE,40,33.66666667,39.5,46,59,33,22,24.5,23.5,48,1,1,4300,0,0
WR,100.75,79.66666667,112.5,135,164,90,14,18.5,22.5,41,-4,4,4600,0,0
WR,121.75,125,166.5,164,112,169,42,16.75,18.25,35,-1.5,1.5,3900,0,0
WR,128.25,114.3333333,170.5,175,170,166,2,16.75,18.25,35,-1.5,1.5,3000,0,0
