var,cush,sep,tay,tay_percent,rec,tar,yac_per_r,td
0.50,5.6,2.9,9.4,22.95,76,108,5.8,7
0.62,5.5,2.6,9.2,28.46,90,148,4.2,5
0.53,8,3.5,7.9,16.71,61,83,4.7,6
0.54,7.2,3.5,11.5,29.56,75,105,6.4,7
0.59,5.9,3.1,14.8,38.19,87,137,6.4,12
0.51,5.9,3.2,12.6,23.86,58,89,4.9,7
0.59,4.8,2.8,9.5,9.88,36,53,5.6,8
0.52,5.5,3,9.3,12.12,45,62,4.9,4
0.57,5.5,2.6,10.2,15.78,55,76,3.3,5
0.72,6,3.7,6.5,12.12,69,89,6.1,3
0.82,5.7,2.7,15.6,14.48,28,50,3.9,7
1.22,5.5,3,14,22.2,49,71,4.8,3
0.42,6.7,2.4,12.2,19.14,39,65,2.9,5
0.56,5.8,2.6,14.5,30.58,54,105,2.9,6
0.51,5.4,3.3,7.3,25.32,88,136,10.2,5
0.42,5.2,3.3,5.7,20.19,85,107,7.5,5
0.81,4.9,2.1,15.2,24.85,43,66,3,10
0.35,5.2,2,17.4,31.76,49,90,4.8,2
0.54,6.1,3.5,8.5,23.1,66,101,5.7,5
0.54,6.2,3.2,7,16.6,66,101,4.9,3
0.59,6.1,2.7,9.5,14.14,58,79,7.2,7
0.46,5.3,3,8.7,27.73,111,166,6.1,7
0.73,6.1,3.1,10.3,35.88,65,112,4.3,4
0.43,4.5,2.5,11.1,8.11,34,48,6.9,5
0.53,5.9,2.6,8.6,22.58,64,115,5,6
0.54,6.1,4.4,5.1,7.62,45,64,9,3
0.75,6.2,2.8,12.7,25.92,56,102,2.6,7
0.51,7.4,3.1,9.3,21.25,62,94,6,5
0.50,6.3,3.4,7.2,20.37,94,134,6,10
0.61,6.2,2.6,11.9,17.14,59,95,4.6,7
0.56,6.6,2.8,10.4,19.69,86,121,7.1,9
0.53,4.9,2.3,12.6,37.34,70,119,5.4,5
0.54,5.3,1.9,15.4,33.67,65,116,4.9,11
0.43,5.1,2.5,11.8,42.93,72,124,5.2,6
0.51,5.6,3,5.8,10.47,58,86,6.2,5
0.59,6.2,2.5,15.6,33.03,44,80,4.8,3
0.61,6,3,10.8,28.65,63,97,4.9,10
0.56,5.6,2.2,12.6,26.7,66,113,5.4,6
0.52,6.2,2.7,9.8,16.65,43,68,5.4,3
0.73,6,3.5,9.5,27.13,68,108,4.4,3
0.65,6.5,2.8,11.9,33.13,73,118,4.4,8
0.45,5.3,2.6,11.1,30.19,87,135,4.8,4
0.70,6.3,3.2,10,17.68,64,92,5.8,10
0.53,7.4,2.9,13.5,23.32,63,93,2.3,7
0.75,6.7,3.5,6.6,14.79,49,71,6.8,4
0.45,4.9,2.5,13.4,28.51,58,100,5,7
0.56,5.2,2.1,14.1,37.09,58,93,3.9,7
0.83,6.4,3,10.9,21.04,46,71,5.4,7
0.71,5,2.2,13.4,29.8,52,84,8.8,8
0.58,5.8,3.2,7.8,20.83,57,81,8.5,3
