player,fantpos,espn_rank,draft_year,height,weight,armlength,handsize,forty,ten_split,bench,vertical,broad,shuttle,cone,clust
Jordan Matthews,WR,83,2000,75,215,33.25,10.375,4.46,1.55,21,35.5,120,4.18,6.95,3
Shane Vereen,RB,73,2000,70,205,30.625,9,4.55,1.62,31,34,115,4.28,6.95,3
Curtis Samuel,WR,86,2000,71,195,31.25,9.5,4.31,1.55,18,37,119,4.33,7.09,3
Jay Ajayi,RB,72,2000,72,223,32,10,4.57,1.59,19,39,121,4.1,7.1,3
Charles Sims,RB,70,2000,72,211,31,8.25,4.48,1.57,17,37.5,126,4.3,7.16,3
Martavis Bryant,WR,76,2000,76,210,32.625,9.5,4.42,1.57,16,39,124,4.15,7.18,3
Willie Snead,WR,36,2000,71,205,33,10.25,4.62,1.57,11,34.75,116,4.41,7.21,3
Tyler Kroft,TE,75,2000,78,252,33,9.625,4.8,1.7,17,34,120,4.55,7.23,3
James OShaughnessy,TE,37,2000,76,245,31.375,8.875,4.73,1.66,16,35,116,4.43,7.25,3
DOnta Foreman,RB,73,2000,73,235,31.375,10.125,4.51,1.68,18,33,120,4.34,7.26,3
Elijah McGuire,RB,50,2000,70,214,31,9,4.52,1.61,15,36,120,4.56,7.26,3
Richard Rodgers,TE,44,2000,76,257,32.625,10.125,4.87,1.76,16,31.5,114,4.58,7.3,3
Maxx Williams,TE,83,2000,76,252,33.5,10.375,4.78,1.77,17,34.5,117,4.37,7.3,3
Clive Walford,TE,80,2000,76,258,34,10.25,4.79,1.72,20,30.5,120,4.57,7.32,3
Ed Dickson,TE,72,2000,76,250,33,9.75,4.67,1.65,24,33.5,119,4.59,7.32,3
Kelvin Benjamin,WR,75,2000,77,245,34.875,10.25,4.61,1.62,13,32.75,119,4.47,7.33,3
Bo Scarbrough,RB,59,2000,73,235,33.5,10,4.52,1.56,14,40,129,4.34,7.11,3
John Ross,WR,90,2000,71,190,31.875,9.25,4.22,1.49,15,37,133,3.94,6.46,2
Johnny Manziel,QB,90,2000,72,210,31.375,9.875,4.68,1.63,16,31.5,113,4.03,6.75,2
Drew Stanton,QB,87,2000,75,226,30.25,9,4.79,1.67,18,30.5,108,4.41,6.77,2
Bryce Petty,QB,73,2000,75,226,31.875,10,4.87,1.67,18,34,121,4.13,6.91,2
Brett Hundley,QB,59,2000,75,226,32.125,10.5,4.63,1.62,18,36,120,3.98,6.93,2
Paul Richardson,WR,74,2000,72,183,32.625,8.875,4.4,1.56,14,37.75,124,4.28,7.06,2
Josh Rosen,QB,92,2000,76,218,31.75,9.875,4.92,1.71,17,31,111,4.28,7.09,2
AJ McCarron,QB,78,2000,75,215,32.751,9.718,4.94,1.77,17,28,99,4.34,7.18,2
Cody Kessler,QB,50,2000,73,215,32.625,10.875,4.89,1.68,17,29.5,104,4,7.32,2
Tom Savage,QB,75,2000,76,230,31.625,9.625,4.97,1.77,18,27,105,4.36,7.33,2
Geronimo Allison,WR,39,2000,75,202,32.875,9.5,4.64,1.68,16,33.75,127,4.28,7.4,2
Derek Anderson,QB,73,2000,78,235,32.625,10,5.04,1.75,18,29,103,4.67,7.67,2
Alex Collins,RB,67,2000,70,208,30.25,9.25,4.59,1.62,18,30.5,113,4.29,7.02,2
Mecole Hardman,WR,78,2000,70,187,30.25,9,4.33,1.52,17,36.5,119,4.05,6.63,2
Rashaad Penny,RB,84,2000,71,220,31.25,9.25,4.46,1.58,13,32.5,120,4.17,6.83,2
Tony Pollard,RB,59,2000,72,210,30,9.5,4.52,1.58,13,35,121,4.22,6.92,2
Breshad Perriman,WR,90,2000,74,215,32,9.25,4.31,1.56,18,36.5,127,4.03,6.6,2
Bilal Powell,RB,62,2000,70,204,30.875,8.75,4.56,1.58,18,32.6,113,4.26,6.98,2
Torrey Smith,WR,82,2000,72,205,32.625,8.625,4.44,1.54,19,41,126,4.13,6.72,2
Ameer Abdullah,RB,85,2000,69,203,30,8.625,4.6,1.57,24,42.5,147,3.95,6.79,2
Zay Jones,WR,87,2000,74,200,32.5,9,4.45,1.55,15,36.5,133,4.01,6.79,2
Stevan Ridley,RB,59,2000,71,220,31.875,9.25,4.72,1.69,20,36,118,4.22,6.81,2
Wendell Smallwood,RB,57,2000,70,208,30.5,9.25,4.47,1.58,16,33.5,120,4.28,6.83,2
Rishard Matthews,WR,55,2000,72,217,32.5,9.125,4.56,1.65,20,36,123,4.19,6.88,2
Matt Jones,RB,60,2000,74,239,32.314,9.589,4.64,1.62,20,31.5,112,4.47,6.89,2
Marquez Valdes-Scantling,WR,44,2000,76,206,32.25,10,4.37,1.55,15,30.5,124,4.22,6.9,2
Virgil Green,TE,77,2000,77,255,33.5,9.25,4.64,1.62,23,42.5,147,4.4,6.9,2
Keke Coutee,WR,67,2000,71,187,29.875,8.375,4.43,1.57,14,34.5,113,4.15,6.93,2
Jermaine Kearse,WR,39,2000,73,209,32.125,9.25,4.53,1.58,14,34.75,124,4.17,6.96,2
Kenneth Dixon,RB,76,2000,70,228,31.375,9.5,4.58,1.57,18,37.5,121,4.28,6.97,2
TreQuan Smith,WR,73,2000,74,210,34.5,9,4.49,1.6,12,37.5,130,4.5,6.97,2
Trey Quinn,WR,61,2000,72,200,30.75,10.125,4.53,1.59,17,32,116,4.22,6.98,2
Dare Ogunbowale,RB,46,2000,71,205,31.5,8.25,4.66,1.64,14,35,120,4.3,6.99,2
Mike Davis,RB,65,2000,69,217,30.131,8.941,4.6,1.6,17,34.75,116,4.18,7,2
Albert Wilson,WR,37,2000,69,186,30.375,9.125,4.43,1.54,10,37.25,123,4.21,7,2
