season,week,weekday,game_date,game_hour,favorite,underdog,spread,total
2015,10,Sun,2015-11-15,1,DET,GB,-10.5,50
2015,10,Sun,2015-11-15,1,MIA,PHI,-6,49.5
2015,10,Sun,2015-11-15,1,NO,WAS,-1,52
2015,10,Sun,2015-11-15,1,CHI,STL,-7,42.5
2015,10,Sun,2015-11-15,1,CAR,TEN,-3.5,43
2015,10,Mon,2015-11-16,8,HOU,CIN,-10,46.5
2015,11,Thu,2015-11-19,8,TEN,JAC,-3,41.5
2015,11,Sun,2015-11-22,1,WAS,CAR,-7,44.5
2015,11,Sun,2015-11-22,4,KC,SD,-3,45.5
2015,11,Sun,2015-11-22,4,SF,SEA,-14,40
2015,11,Sun,2015-11-22,8,CIN,ARI,-4,48
2015,11,Sun,2015-11-22,1,DEN,CHI,-2,41.5
2015,11,Sun,2015-11-22,1,TB,PHI,-6.5,45.5
2015,11,Sun,2015-11-22,4,GB,MIN,0,45
2015,11,Sun,2015-11-22,1,NYJ,HOU,-4,40
2015,11,Sun,2015-11-22,1,IND,ATL,-3.5,47.5
2015,11,Sun,2015-11-22,1,DAL,MIA,-2,45
2015,11,Sun,2015-11-22,1,OAK,DET,-1.5,50
2015,11,Sun,2015-11-22,1,STL,BAL,,
2015,11,Mon,2015-11-23,8,BUF,NE,-7,47.5
2015,12,Thu,2015-11-26,4,CAR,DAL,-1,44.5
2015,12,Thu,2015-11-26,8,CHI,GB,-8,45
2015,12,Thu,2015-11-26,12,PHI,DET,-3,47
2015,12,Sun,2015-11-29,1,SD,JAC,-5,47
2015,12,Sun,2015-11-29,1,MIA,NYJ,-4.5,43.5
2015,12,Sun,2015-11-29,1,BUF,KC,-4.5,41
2015,12,Sun,2015-11-29,4,PIT,SEA,-3,46.5
2015,12,Sun,2015-11-29,1,NYG,WAS,-1.5,48
2015,12,Sun,2015-11-29,1,TB,IND,-3,46.5
2015,12,Sun,2015-11-29,1,MIN,ATL,-2,45
2015,12,Sun,2015-11-29,1,NO,HOU,-3.5,51
2015,12,Sun,2015-11-29,1,OAK,TEN,-1,45
2015,12,Sun,2015-11-29,1,STL,CIN,,
2015,12,Sun,2015-11-29,8,NE,DEN,-2.5,43
2015,12,Sun,2015-11-29,4,ARI,SF,-8.5,45
2015,12,Mon,2015-11-30,8,BAL,CLE,-6,41
2015,13,Thu,2015-12-03,8,GB,DET,-2.5,46.5
2015,13,Sun,2015-12-06,1,JAC,TEN,-3,43.5
2015,13,Sun,2015-12-06,1,NYJ,NYG,-2.5,46
2015,13,Sun,2015-12-06,4,DEN,SD,-6,45
2015,13,Sun,2015-12-06,4,KC,OAK,-3,45.5
2015,13,Sun,2015-12-06,4,PHI,NE,-9.5,49
2015,13,Sun,2015-12-06,8,IND,PIT,-9.5,50.5
2015,13,Sun,2015-12-06,1,SF,CHI,-6.5,43
2015,13,Sun,2015-12-06,1,CIN,CLE,-7.5,44
2015,13,Sun,2015-12-06,1,ATL,TB,0,46.5
2015,13,Sun,2015-12-06,1,HOU,BUF,-3,42
2015,13,Sun,2015-12-06,1,BAL,MIA,-3.5,43
2015,13,Sun,2015-12-06,4,CAR,NO,-6,50.5
2015,13,Sun,2015-12-06,1,SEA,MIN,-2.5,43
2015,13,Sun,2015-12-06,1,ARI,STL,-3.5,43
2015,13,Mon,2015-12-07,8,DAL,WAS,-2,43.5
2015,14,Thu,2015-12-10,8,MIN,ARI,-10,46.5
2015,14,Sun,2015-12-13,4,DAL,GB,-6.5,42.5
2015,14,Sun,2015-12-13,1,SEA,BAL,-10.5,42
2015,14,Sun,2015-12-13,4,OAK,DEN,-6,43
2015,14,Sun,2015-12-13,8,NE,HOU,-5,46.5
2015,14,Sun,2015-12-13,1,TEN,NYJ,-8,43
2015,14,Sun,2015-12-13,1,IND,JAC,-1,46
2015,14,Sun,2015-12-13,1,NO,TB,-6,51.5
2015,14,Sun,2015-12-13,1,SD,KC,-12,41.5
2015,14,Sun,2015-12-13,1,DET,STL,-3,41.5
2015,14,Sun,2015-12-13,1,WAS,CHI,-4,43.5
2015,14,Sun,2015-12-13,1,SF,CLE,-2.5,43
2015,14,Sun,2015-12-13,1,ATL,CAR,-8.5,45.5
2015,14,Sun,2015-12-13,1,BUF,PHI,-1,48.5
2015,14,Sun,2015-12-13,1,PIT,CIN,-1,48.5
