game_id,receiver_player_id,hv_plays,avg_rz_targets,hv_plays_moving_avg16,hv_plays_moving_avg8,hv_plays_moving_avg4
2013092208,00-0021547,1,1.51,1.50,1.63,1.25
2012093000,00-0022097,1,1.54,1.31,1.50,1.50
2014110208,00-0027656,3,2.00,1.81,1.50,1.50
2013122300,00-0028307,1,1.00,1.67,1.67,1.67
2017103000,00-0030670,1,1.44,1.25,1.25,1.25
2017122405,00-0032765,2,2.06,2.06,1.75,1.50
2009112208,00-0025414,2,1.50,1.50,1.50,1.50
2010091905,00-0022127,1,1.29,1.25,1.25,1.50
2016120400,00-0030414,1,1.00,1.67,1.67,1.67
2011112709,00-0024324,2,1.73,1.50,1.38,1.25
2015102200,00-0022084,1,1.58,1.63,1.75,1.50
2012123003,00-0019642,1,1.64,1.71,1.71,1.25
2014101901,00-0024267,1,1.55,1.44,1.38,1.50
2009101808,00-0025549,1,2.00,1.33,1.33,1.33
2019092908,00-0031558,1,1.22,1.00,1.00,1.00
2012091605,00-0026364,1,1.61,1.63,1.75,2.25
2015121310,00-0032062,1,1.00,1.00,1.00,1.00
2014101203,00-0023310,1,1.84,1.25,1.13,1.00
2016010315,00-0027996,1,1.45,1.44,1.13,1.00
2016102304,00-0029697,1,1.61,1.88,1.75,1.75
2011010203,00-0027012,1,1.50,1.00,1.00,1.00
2013120111,00-0027215,1,1.13,1.13,1.13,1.00
2013091900,00-0026189,1,1.45,1.25,1.38,1.25
2013121505,00-0027029,2,1.38,1.19,1.25,1.00
2015120600,00-0028064,2,1.07,1.00,1.00,1.00
2014100509,00-0022427,1,1.79,1.81,1.75,1.50
2009111510,00-0004541,1,1.25,1.83,1.83,1.25
2017091007,00-0027061,1,1.44,1.44,1.38,1.75
2011100210,00-0025431,2,1.65,2.00,1.88,1.75
2018122200,00-0031585,2,1.00,1.00,1.00,1.00
2012092300,00-0027702,1,1.78,1.75,1.63,1.75
2010010304,00-0003035,1,1.60,1.00,1.00,1.00
2010121913,00-0027656,1,1.43,1.50,1.50,1.75
